Report ID,Product Name,Category,Issue Experienced,Purchase Location,Severity,Reporter Type,Trust Level,Risk Score,Submission Timestamp,Product,Report Summary,Suggested Next Action,Severity Score,Risk Level
1,Smartphone X200,Electronics,Screen flickers intermittently after a few minutes of use.,TechMart Downtown,Moderate,Customer,1,2,9/19/2026 11:31pm,SmartHome Security Camera,"Report of Smartphone X200 (Category: Electronics): Customer experienced intermittent screen flickering after a few minutes of use (Severity: Moderate), reported by Customer with trust level 1.",Flag for further investigation to verify the issue and assess potential safety risks.,2,🟢 Low
2,Organic Almond Butter,Groceries,"Jar was unsealed upon purchase, contents appeared spoiled.",GreenGrocer Market,Severe,Customer,1,3,9/19/2026 11:31pm,Organic Almond Butter,"Report of Organic Almond Butter (Category: Groceries): Customer reported jar was unsealed upon purchase and contents appeared spoiled (Severity: Severe), reported by Customer with trust level 1.",Escalate to product safety lead for immediate review.,3,🟡 Medium
3,Bluetooth Headphones Pro,Electronics,Left earbud stopped working within a week.,Online Store,Minor,Customer,1,1,9/19/2026 11:31pm,Bluetooth Headphones,"Report of Bluetooth Headphones Pro (Category: Electronics): Customer reported left earbud stopped working within a week (Severity: Minor), reported by Customer with trust level 1.",Monitor for patterns of similar reports before taking further action.,1,🟢 Low
4,Children's Cough Syrup,Pharmacy,Incorrect dosage instructions on label.,HealthPlus Pharmacy,Severe,Pharmacist,1,3,9/19/2026 11:31pm,Children’s Wooden Blocks,"Report of Children's Cough Syrup (Category: Pharmacy): Pharmacist reported incorrect dosage instructions on label (Severity: Severe), with trust level 1.",Escalate to product safety lead for immediate review.,3,🟡 Medium
5,Running Shoes SprintX,Apparel,Sole detached after two uses.,SportsWorld,Moderate,Customer,1,2,9/19/2026 11:31pm,All-Season Car Tires,"Report of Running Shoes SprintX (Category: Apparel): Customer reported sole detachment after two uses (Severity: Moderate), submitted by Customer with trust level 1.",Flag for further investigation to verify report validity before taking additional action.,2,🟢 Low
6,LED Desk Lamp,Home & Living,Lamp overheats after 30 minutes.,HomeEssentials,Severe,Customer,1,3,9/19/2026 11:31pm,Stainless Steel Water Bottle,"Report of LED Desk Lamp (Category: Home & Living): Customer experienced lamp overheating after 30 minutes (Severity: Severe), reported by customer with trust level 1.",Escalate to product safety lead for immediate review.,3,🟡 Medium
7,Frozen Mixed Berries,Groceries,Foreign object (plastic piece) found inside bag.,SuperMart,Severe,Customer,1,3,9/19/2026 11:31pm,Wireless Router AX3000,"Report of Frozen Mixed Berries (Category: Groceries): Customer found a foreign object (plastic piece) inside the bag (Severity: Severe), reported by Customer with trust level 1.",Escalate to product safety lead for immediate review.,3,🟡 Medium
8,Laptop UltraBook 15,Electronics,Battery drains rapidly even when idle.,Online Store,Moderate,Customer,1,2,9/19/2026 11:31pm,Herbal Sleep Aid Capsules,"Report of Laptop UltraBook 15 (Category: Electronics): Customer reported rapid battery drain even when idle (Severity: Moderate), submitted by Customer with trust level 1.",Monitor for patterns and gather additional reports to assess potential widespread impact.,2,🟢 Low
9,Men's Shaving Cream,Personal Care,"Allergic reaction after use, redness and swelling.",PharmaPlus,Moderate,Customer,1,2,9/19/2026 11:31pm,Cordless Power Drill,"Report of Men's Shaving Cream (Category: Personal Care): Customer experienced allergic reaction after use, including redness and swelling (Severity: Moderate), reported by Customer with trust level 1.",Flag for further investigation and monitor for additional reports.,2,🟢 Low
10,Wireless Router AX3000,Electronics,Frequent disconnections and slow speeds.,TechMart Uptown,Minor,Customer,1,1,9/19/2026 11:31pm,LED Desk Lamp,"Report of Wireless Router AX3000 (Category: Electronics): Customer experienced frequent disconnections and slow speeds (Severity: Minor), reported by Customer with trust level 1.",Monitor for patterns and gather additional user reports.,1,🟢 Low
11,Baby Stroller SafeRide,Baby Products,Wheel locking mechanism failed during use.,BabyWorld,Severe,Customer,1,3,9/19/2026 11:31pm,Pet Odor Neutralizer Spray,"Report of Baby Stroller SafeRide (Category: Baby Products): Customer experienced wheel locking mechanism failure during use (Severity: Severe), reported by Customer with trust level 1.",Escalate to product safety lead for immediate review.,3,🟡 Medium
12,Organic Spinach,Groceries,Product wilted and slimy before expiration date.,GreenGrocer Market,Minor,Customer,1,1,9/19/2026 11:31pm,Fitness Tracker Watch,"Report of Organic Spinach (Category: Groceries): Customer experienced product wilting and sliminess before expiration date (Severity: Minor), reported by Customer with trust level 1.",Monitor for patterns of similar complaints before taking further action.,1,🟢 Low
13,Smartwatch FitPro,Electronics,Heart rate sensor gives inconsistent readings.,Online Store,Moderate,Customer,1,2,9/19/2026 11:31pm,Electric Pressure Cooker,"Report of Smartwatch FitPro (Category: Electronics): Customer experienced heart rate sensor giving inconsistent readings (Severity: Moderate), reported by Customer with trust level 1.",Flag for further investigation to verify report validity and assess potential risk.,2,🟢 Low
